,title,vote_count,vote_average,genres,popularity,imdb_id
5702,My Mother's Castle,53.0,7.4,"['Adventure', 'Comedy', 'Drama', 'Romance']",3.111707,tt0099266
5703,Return to the Blue Lagoon,156.0,5.2,['Adventure'],8.929393,tt0102782
5705,Toy Soldiers,94.0,6.2,"['Action', 'Adventure', 'Thriller']",12.698468,tt0103112
5711,Ricomincio da tre,55.0,7.5,['Comedy'],0.738954,tt0081427
5715,Scanners,248.0,6.5,"['Horror', 'Science Fiction', 'Thriller']",10.574038999999999,tt0081455
5720,Cabbage Soup,147.0,6.3,"['Comedy', 'Science Fiction']",5.082509,tt0083109
5721,Southern Comfort,83.0,7.0,"['Action', 'Crime', 'Drama', 'History', 'Thriller']",4.239893,tt0083111
5729,Thief,130.0,7.3,"['Action', 'Crime', 'Drama', 'Thriller']",10.480229,tt0083190
5734,Die Another Day,1112.0,5.8,"['Adventure', 'Action', 'Thriller']",12.996474000000001,tt0246460
5735,The Emperor's Club,99.0,6.9,"['Drama', 'Romance']",4.84291,tt0283530
5736,Friday After Next,103.0,6.0,['Comedy'],5.794821,tt0293815
5738,The Quiet American,82.0,6.5,"['Drama', 'Action', 'Thriller', 'Romance']",8.230447,tt0258068
5740,Talk to Her,273.0,7.5,"['Drama', 'Romance']",6.6482779999999995,tt0287467
5741,Eight Crazy Nights,100.0,5.3,"['Comedy', 'Animation']",11.788185,tt0271263
5743,Solaris,378.0,5.9,"['Drama', 'Science Fiction', 'Mystery', 'Romance']",10.642824000000001,tt0307479
5744,Treasure Planet,980.0,7.2,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",16.141913,tt0133240
5745,They,74.0,4.6,"['Horror', 'Thriller']",4.583304,tt0283632
5750,Brother,54.0,6.9,"['Action', 'Crime', 'Thriller']",3.911557,tt0118767
5752,Elling,51.0,7.0,"['Comedy', 'Drama']",2.148946,tt0279064
5753,I Spit on Your Grave,140.0,5.8,"['Horror', 'Thriller']",12.412877,tt0077713
5755,The Last Seduction,81.0,6.7,"['Thriller', 'Mystery', 'Romance']",4.187079,tt0110308
5761,Zulu,137.0,7.4,"['Action', 'Drama', 'History', 'War']",11.604242,tt0058777
5762,Analyze That,385.0,5.7,"['Comedy', 'Crime']",9.927412,tt0289848
5764,Adaptation.,649.0,7.3,"['Comedy', 'Crime', 'Drama']",11.624481,tt0268126
5765,Equilibrium,1584.0,6.9,"['Action', 'Science Fiction', 'Thriller']",12.671636999999999,tt0238380
5771,Visitor Q,90.0,6.7,"['Comedy', 'Drama', 'Horror', 'Thriller']",3.577025,tt0290329
5777,Escape to Victory,163.0,6.7,"['Action', 'Drama']",9.865257000000001,tt0083284
5784,Attila flagello di Dio,54.0,5.7,['Comedy'],2.835882,tt0080393
5791,The Party 2,134.0,6.3,['Comedy'],4.9648330000000005,tt0083686
5797,Class of 1984,67.0,6.2,"['Action', 'Drama', 'Horror', 'Crime', 'Thriller']",4.821182,tt0083739
5800,Deathtrap,58.0,6.7,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",3.8147379999999997,tt0083806
5803,Drumline,118.0,6.2,"['Drama', 'Romance', 'Comedy', 'Music']",5.270187,tt0303933
5804,The Hot Chick,431.0,5.5,"['Comedy', 'Fantasy']",8.734328,tt0302640
5805,Maid in Manhattan,493.0,5.6,"['Comedy', 'Drama', 'Romance']",7.291939,tt0252076
5806,Star Trek: Nemesis,488.0,6.1,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",11.367801,tt0253754
5807,About Schmidt,365.0,6.7,"['Drama', 'Comedy']",11.066473,tt0257360
5814,The Lord of the Rings: The Two Towers,7641.0,8.0,"['Adventure', 'Fantasy', 'Action']",29.423537,tt0167261
5816,25th Hour,640.0,7.2,"['Crime', 'Drama']",10.271871,tt0307901
5817,Antwone Fisher,140.0,6.7,"['Drama', 'Romance']",10.944654,tt0168786
5818,Gangs of New York,1964.0,7.1,"['Drama', 'History', 'Crime']",14.922398999999999,tt0217505
5819,Two Weeks Notice,505.0,5.9,"['Comedy', 'Romance']",7.738531,tt0313737
5821,Narc,144.0,6.8,"['Action', 'Crime', 'Drama', 'Thriller']",5.20644,tt0272207
5823,Blue Steel,70.0,5.4,['Thriller'],5.200399,tt0099160
5824,Body of Evidence,57.0,4.5,"['Drama', 'Thriller', 'Romance']",4.655727,tt0106453
5825,The Children's Hour,72.0,7.5,['Drama'],7.5912690000000005,tt0054743
5827,The Duellists,92.0,7.1,"['Drama', 'War']",5.82556,tt0075968
5831,My Girl 2,111.0,5.4,"['Comedy', 'Drama', 'Family', 'Romance']",4.911734,tt0110613
5832,My Girl,441.0,7.0,"['Comedy', 'Drama', 'Family']",8.605742,tt0102492
5833,My Neighbor Totoro,1730.0,8.0,"['Fantasy', 'Animation', 'Family']",13.507299,tt0096283
5837,War and Peace,50.0,6.8,"['Drama', 'War', 'Romance']",3.6662769999999996,tt0049934
5842,Black Christmas,133.0,6.8,"['Horror', 'Mystery', 'Thriller']",5.310614,tt0071222
5843,The Day of the Triffids,55.0,6.1,"['Horror', 'Science Fiction', 'Thriller']",7.351703,tt0055894
5845,Invaders from Mars,51.0,6.0,"['Science Fiction', 'Thriller']",3.262443,tt0045917
5851,Catch Me If You Can,3917.0,7.7,"['Drama', 'Crime']",19.833077,tt0264464
5852,Pinocchio,144.0,5.6,"['Comedy', 'Family', 'Fantasy']",6.463613,tt0255477
5853,Chicago,695.0,6.9,"['Action', 'Comedy', 'Crime', 'Drama', 'Music']",13.325347,tt0299658
5854,The Hours,461.0,7.0,['Drama'],14.686487,tt0274558
5856,Nicholas Nickleby,50.0,6.8,"['Adventure', 'Drama', 'Action', 'Family']",4.056577,tt0309912
5857,The Pianist,1927.0,8.1,"['Drama', 'War']",14.811594,tt0253474
5863,The King of Comedy,306.0,7.6,"['Comedy', 'Drama']",9.093411,tt0085794
5865,Confessions of a Dangerous Mind,281.0,6.6,"['Comedy', 'Crime', 'Drama', 'Romance', 'Thriller']",11.331072,tt0270288
5868,Just Married,415.0,5.3,['Comedy'],6.001151999999999,tt0305711
5874,A Guy Thing,85.0,5.3,"['Comedy', 'Romance']",4.444724,tt0295289
5875,Kangaroo Jack,207.0,4.3,"['Comedy', 'Adventure', 'Crime']",6.538007,tt0257568
5876,National Security,244.0,5.5,"['Action', 'Comedy', 'Crime', 'Thriller']",6.4092970000000005,tt0271668
5878,City of God,1852.0,8.2,"['Drama', 'Crime']",14.959270000000002,tt0317248
5883,The American Friend,70.0,7.0,"['Drama', 'Thriller']",6.710499,tt0075675
5885,Band of Outsiders,103.0,7.5,"['Crime', 'Drama', 'Romance']",5.648187,tt0057869
5893,Imitation of Life,62.0,7.2,"['Drama', 'Romance']",4.480053,tt0052918
5901,The Woman in Red,101.0,5.6,"['Comedy', 'Romance']",19.856025,tt0088414
5902,Darkness Falls,161.0,4.9,"['Thriller', 'Horror']",11.878552,tt0282209
5903,Amen.,75.0,7.1,"['Drama', 'History']",4.576053,tt0280653
5919,Biker Boyz,63.0,5.0,"['Action', 'Drama']",11.269558,tt0326769
5920,Final Destination 2,1046.0,5.9,"['Horror', 'Mystery']",12.638573,tt0309593
5921,The Recruit,545.0,6.2,"['Action', 'Thriller']",11.485472999999999,tt0292506
5922,The Guru,76.0,5.1,"['Comedy', 'Romance']",4.720788,tt0280720
5924,Lost in La Mancha,63.0,7.2,['Documentary'],4.128414,tt0308514
5925,May,153.0,6.3,"['Drama', 'Horror', 'Thriller', 'Romance']",8.398158,tt0303361
5929,Ordinary Decent Criminal,66.0,6.0,"['Comedy', 'Thriller']",10.267028999999999,tt0160611
5939,Evil Under the Sun,73.0,6.5,"['Thriller', 'Crime', 'Mystery', 'Drama']",10.526095,tt0083908
5940,Firefox,141.0,5.5,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",8.97528,tt0083943
5943,The Gendarme and the Gendarmettes,89.0,6.2,['Comedy'],4.724443,tt0083996
5955,The Last Unicorn,117.0,7.0,"['Fantasy', 'Animation', 'Family']",6.634939,tt0084237
5962,A Midsummer Night's Sex Comedy,93.0,6.5,"['Comedy', 'Romance']",11.212722,tt0084329
5963,Missing,81.0,7.2,"['Drama', 'History', 'Mystery', 'Thriller']",4.652888,tt0084335
5981,Santa Claus Is a Stinker,203.0,7.4,['Comedy'],5.870932,tt0084555
5994,The New York Ripper,60.0,5.7,['Horror'],4.273868,tt0084719
6002,Tenebre,107.0,6.6,"['Horror', 'Mystery', 'Thriller']",13.925957999999998,tt0084777
6005,Trail of the Pink Panther,63.0,4.9,"['Comedy', 'Crime']",4.918228,tt0084814
6010,White Dog,56.0,6.5,"['Horror', 'Drama', 'Thriller']",2.849356,tt0084899
6017,How to Lose a Guy in 10 Days,873.0,6.3,"['Comedy', 'Romance']",5.188107,tt0251127
6018,Shanghai Knights,707.0,6.0,"['Action', 'Adventure', 'Comedy', 'Western']",7.469778,tt0300471
6019,Daredevil,1551.0,5.0,"['Fantasy', 'Action', 'Crime', 'Science Fiction', 'Thriller']",11.415558,tt0287978
6020,The Jungle Book 2,278.0,5.6,"['Family', 'Animation', 'Adventure']",10.605851,tt0283426
6024,Gerry,69.0,6.1,"['Mystery', 'Drama', 'Adventure']",3.3377470000000002,tt0302674
6025,He Loves Me... He Loves Me Not,79.0,6.9,"['Drama', 'Romance', 'Thriller']",4.421311,tt0291579
6028,Dennis the Menace,280.0,5.5,"['Family', 'Comedy']",10.378902,tt0106701
6032,The Black Stallion,59.0,7.0,"['Adventure', 'Family']",10.246132000000001,tt0078872
6046,The Man Who Fell to Earth,139.0,6.4,"['Drama', 'Science Fiction']",6.451499,tt0074851
6047,Dark Blue,86.0,6.5,"['Action', 'Crime', 'Drama', 'Thriller']",4.9840800000000005,tt0279331
6049,The Life of David Gale,497.0,7.3,"['Drama', 'Thriller', 'Crime']",9.930325999999999,tt0289992
6050,Old School,552.0,6.6,['Comedy'],16.195894,tt0302886
6058,Cradle 2 the Grave,242.0,5.8,"['Action', 'Crime', 'Drama']",8.364587,tt0306685
6059,Spider,176.0,6.4,"['Drama', 'Mystery', 'Thriller']",5.812918,tt0278731
6074,Bringing Down the House,191.0,5.4,['Comedy'],5.762343,tt0305669
6075,Tears of the Sun,582.0,6.4,"['Action', 'Drama', 'War']",10.614987,tt0314353
6076,Irreversible,550.0,7.1,"['Drama', 'Thriller', 'Crime', 'Mystery']",16.763820000000003,tt0290673
6077,Laurel Canyon,55.0,5.7,['Drama'],3.672246,tt0298408
6080,Bend It Like Beckham,593.0,6.2,"['Comedy', 'Drama', 'Romance']",6.262677,tt0286499
6081,The Hunted,194.0,6.0,"['Drama', 'Action', 'Thriller', 'Crime']",7.481524,tt0269347
6082,Willard,82.0,5.8,['Horror'],4.109477,tt0310357
6084,Prozac Nation,74.0,5.7,['Drama'],4.8655230000000005,tt0236640
6085,Spun,132.0,6.6,"['Comedy', 'Crime', 'Drama']",7.115355,tt0283003
6091,Two-Lane Blacktop,58.0,6.7,['Drama'],4.550433,tt0067893
6100,Green Card,97.0,5.9,"['Comedy', 'Drama', 'Romance']",11.169488000000001,tt0099699
6101,Journey to the Center of the Earth,107.0,6.7,"['Adventure', 'Fantasy', 'Family']",10.38937,tt0052948
6104,Ringu,310.0,6.9,"['Horror', 'Thriller']",6.4861260000000005,tt0178868
6105,Ringu 2,81.0,5.4,['Horror'],5.277814,tt0218553
6111,Boat Trip,148.0,4.7,['Comedy'],6.515316,tt0285462
6112,Dreamcatcher,574.0,5.2,"['Drama', 'Horror', 'Science Fiction', 'Thriller']",7.694847,tt0285531
6113,Piglet's Big Movie,76.0,6.1,"['Animation', 'Family']",8.516475,tt0323642
6114,View from the Top,145.0,5.0,"['Comedy', 'Romance']",5.506354,tt0264150
6125,Basic,290.0,6.2,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']",14.327717000000002,tt0264395
6126,The Core,531.0,5.5,"['Action', 'Thriller', 'Adventure', 'Science Fiction']",11.664861,tt0298814
6127,Head of State,71.0,5.3,['Comedy'],3.3632449999999996,tt0325537
6128,What a Girl Wants,377.0,5.8,['Comedy'],6.743150999999999,tt0286788
6132,Dreams,100.0,7.5,"['Fantasy', 'Drama', 'Science Fiction']",5.845197,tt0100998
6133,Day for Night,100.0,8.0,"['Comedy', 'Drama']",10.101183,tt0070460
6135,In a Lonely Place,103.0,7.5,"['Drama', 'Mystery', 'Thriller']",6.331826,tt0042593
6142,A Man Apart,261.0,5.8,"['Action', 'Drama']",17.714247,tt0266465
6143,Phone Booth,1087.0,6.7,"['Thriller', 'Drama']",9.142772,tt0183649
6145,Cowboy Bebop: The Movie,174.0,7.3,"['Action', 'Animation', 'Science Fiction']",11.562163,tt0275277
6148,The Man Without a Past,76.0,7.0,"['Romance', 'Comedy', 'Drama']",4.006786,tt0311519
6149,Anger Management,937.0,5.9,['Comedy'],9.409379,tt0305224
6152,House of 1000 Corpses,310.0,6.0,['Horror'],11.00913,tt0251736
6153,Lilya 4-ever,141.0,7.7,"['Crime', 'Drama']",5.457863,tt0300140
6156,Bulletproof Monk,285.0,5.2,"['Action', 'Comedy', 'Fantasy']",7.963481,tt0245803
6158,A Mighty Wind,75.0,6.6,"['Comedy', 'Music']",4.672036,tt0310281
6159,Holes,396.0,6.7,"['Adventure', 'Family', 'Drama', 'Comedy']",17.193267000000002,tt0311289
6160,Malibu's Most Wanted,77.0,4.7,"['Comedy', 'Crime']",4.025079,tt0328099
6161,Winged Migration,50.0,7.1,['Documentary'],3.6899300000000004,tt0301727
6163,Straw Dogs,230.0,7.2,"['Crime', 'Drama', 'Thriller', 'Mystery']",6.632663000000001,tt0067800
6165,The Andromeda Strain,196.0,7.0,"['Science Fiction', 'Thriller']",11.081253,tt0066769
6166,Brainscan,58.0,6.0,"['Fantasy', 'Horror', 'Science Fiction']",8.096719,tt0109327
6167,Fahrenheit 451,198.0,7.0,"['Drama', 'Science Fiction']",7.630417,tt0060390
6170,Legal Eagles,53.0,5.9,"['Comedy', 'Crime', 'Drama', 'Romance', 'Thriller']",12.798828,tt0091396
6177,Wildcats,51.0,6.2,"['Comedy', 'Drama']",5.033047,tt0092214
6178,The Wiz,63.0,5.8,"['Adventure', 'Family', 'Fantasy', 'Music']",4.233080999999999,tt0078504
6184,Confidence,127.0,6.4,"['Action', 'Comedy', 'Thriller', 'Crime']",6.959638000000001,tt0310910
6185,Identity,1090.0,7.1,"['Mystery', 'Thriller']",17.955897,tt0309698
6194,The Lizzie McGuire Movie,292.0,5.8,"['Family', 'Comedy']",6.730857,tt0306841
6195,X2,3572.0,6.8,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",0.9130959999999999,tt0290334
6200,Daddy Day Care,526.0,5.6,"['Comedy', 'Family']",6.5049269999999995,tt0317303
6212,Castle in the Sky,877.0,7.8,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family', 'Romance']",11.061551,tt0092067
6218,Gunfight at the O.K. Corral,64.0,6.9,['Western'],10.460298,tt0050468
6221,The Matrix Reloaded,3500.0,6.7,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",16.229317,tt0234215
6223,Down with Love,202.0,6.1,"['Action', 'Comedy', 'Romance', 'Thriller']",9.392508,tt0309530
6226,The Spanish Apartment,276.0,7.0,"['Drama', 'Comedy', 'Romance']",5.94395,tt0283900
6227,Pokémon Heroes: Latios and Latias,71.0,5.7,"['Action', 'Adventure', 'Animation', 'Fantasy']",4.01309,tt0347791
6228,Bruce Almighty,3121.0,6.4,"['Fantasy', 'Comedy']",15.947524,tt0315327
6229,The In-Laws,68.0,5.6,"['Action', 'Comedy']",6.585107000000001,tt0314786
6232,Finding Nemo,6292.0,7.6,"['Animation', 'Family']",25.497794,tt0266543
6233,The Italian Job,1949.0,6.6,"['Action', 'Crime']",13.995044,tt0317740
6234,Wrong Turn,652.0,6.0,"['Horror', 'Thriller']",14.079718,tt0295700
6235,Capturing the Friedmans,112.0,7.4,['Documentary'],4.453296,tt0342172
6238,2 Fast 2 Furious,2087.0,6.2,"['Action', 'Crime', 'Thriller']",2.32462,tt0322259
6240,Whale Rider,114.0,7.1,"['Drama', 'Family']",11.040186,tt0298228
6246,A Man Called Horse,58.0,6.6,"['Action', 'Adventure', 'Drama', 'Western']",14.35552,tt0066049
6248,Big Jake,55.0,6.8,['Western'],4.1755260000000005,tt0066831
6249,The Crazies,67.0,6.0,"['Action', 'Horror', 'Thriller']",3.7392260000000004,tt0069895
6252,Le Mans,52.0,6.7,"['Action', 'Drama']",3.571383,tt0067334
6276,Oscar,128.0,6.2,"['Action', 'Comedy', 'Thriller', 'Family']",6.137796,tt0102603
6280,Two Mules for Sister Sara,129.0,6.6,['Western'],10.072738000000001,tt0065134
6281,Winchester '73,72.0,7.5,['Western'],6.275958,tt0043137
6285,Man with a Movie Camera,114.0,8.1,"['Drama', 'Documentary']",4.6943779999999995,tt0019760
6288,This Boy’s Life,192.0,7.0,['Drama'],9.665142,tt0108330
6292,Barton Fink,450.0,7.4,"['Comedy', 'Drama']",8.387025999999999,tt0101410
6293,Battle of Britain,79.0,6.5,"['Action', 'Drama', 'History', 'War']",4.822357,tt0064072
6299,The Flight of the Phoenix,70.0,7.0,"['Adventure', 'Drama']",4.570894,tt0059183
6311,The Trial,80.0,7.4,"['Crime', 'Drama']",5.310729,tt0057427
6315,Good Burger,113.0,5.4,"['Comedy', 'Family']",10.580421000000001,tt0119215
6333,Dumb and Dumberer: When Harry Met Lloyd,211.0,4.1,['Comedy'],9.280038000000001,tt0329028
6335,Hollywood Homicide,172.0,5.0,"['Action', 'Adventure', 'Comedy', 'Thriller']",11.080439,tt0329717
6336,Rugrats Go Wild,62.0,5.6,"['Animation', 'Family']",9.599034,tt0337711
6344,Alex & Emma,71.0,5.0,"['Comedy', 'Romance']",5.236854,tt0318283
6353,28 Days Later,1816.0,7.1,"['Horror', 'Thriller', 'Science Fiction']",17.656951,tt0289043
6354,Charlie's Angels: Full Throttle,930.0,5.2,"['Action', 'Adventure', 'Comedy']",7.821116,tt0305357
6360,Ali: Fear Eats the Soul,74.0,7.5,"['Romance', 'Drama']",5.855308,tt0071141
6381,The Tenant,181.0,7.7,"['Horror', 'Thriller', 'Fantasy']",6.583984,tt0074811
6384,"What's Up, Doc?",74.0,7.3,"['Comedy', 'Romance']",3.427108,tt0069495
6385,Hulk,1571.0,5.3,"['Drama', 'Action', 'Science Fiction']",15.422638000000001,tt0286716
6386,"Legally Blonde 2: Red, White & Blonde",386.0,5.2,['Comedy'],7.2880460000000005,tt0333780
6387,Sinbad: Legend of the Seven Seas,386.0,6.6,"['Family', 'Animation', 'Adventure']",8.388773,tt0165982
6388,Terminator 3: Rise of the Machines,2177.0,5.9,"['Action', 'Thriller', 'Science Fiction']",20.818907,tt0181852
6389,Swimming Pool,154.0,6.5,"['Thriller', 'Crime']",14.481103,tt0324133
6390,Pirates of the Caribbean: The Curse of the Black Pearl,7191.0,7.5,"['Adventure', 'Fantasy', 'Action']",47.326665000000006,tt0325980
6392,The League of Extraordinary Gentlemen,1181.0,5.7,"['Fantasy', 'Action', 'Thriller', 'Science Fiction']",10.488764999999999,tt0311429
6399,Bad Boys II,1588.0,6.3,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",8.191436,tt0172156
6401,Johnny English,875.0,6.0,"['Adventure', 'Action', 'Comedy']",8.739991,tt0274166
6403,Dirty Pretty Things,135.0,6.8,"['Crime', 'Drama', 'Thriller']",5.349653,tt0301199
6409,Curly Sue,112.0,5.5,"['Comedy', 'Drama', 'Family', 'Romance']",8.965053,tt0101635
6410,Little Giants,87.0,6.0,"['Comedy', 'Family']",5.0458739999999995,tt0110364
6415,Lara Croft Tomb Raider: The Cradle of Life,1443.0,5.5,"['Action', 'Adventure', 'Fantasy', 'Thriller']",13.076349,tt0325703
6416,Seabiscuit,219.0,6.8,"['Drama', 'History']",7.851669,tt0329575
6417,Spy Kids 3-D: Game Over,525.0,4.7,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']",8.025145,tt0338459
6418,Buffalo Soldiers,93.0,6.5,"['Drama', 'Comedy', 'War', 'Crime', 'Thriller']",6.134588,tt0252299
6430,"One, Two, Three",66.0,7.6,"['Comedy', 'Family']",3.044499,tt0055256
6432,The Private Life of Sherlock Holmes,61.0,6.9,"['Adventure', 'Comedy', 'Crime', 'Mystery', 'Romance', 'Thriller']",4.127728,tt0066249
6433,Remo Williams: The Adventure Begins...,64.0,6.4,"['Comedy', 'Action', 'Adventure']",11.106753999999999,tt0089901
6437,American Wedding,1158.0,6.0,"['Comedy', 'Romance']",14.397139000000001,tt0328828
6438,Gigli,105.0,3.5,['Drama'],11.415316,tt0299930
6442,The Magdalene Sisters,114.0,7.4,['Drama'],5.725912,tt0318411
6444,Freaky Friday,919.0,6.0,['Comedy'],7.867999,tt0322330
6446,S.W.A.T.,780.0,5.8,"['Action', 'Thriller', 'Crime']",13.334952,tt0257076
6453,Brain Damage,54.0,6.8,"['Comedy', 'Horror']",4.899686,tt0094793
6460,The Gospel According to Matthew,54.0,7.4,"['History', 'Drama']",2.534184,tt0058715
6462,Umberto D.,92.0,8.0,['Drama'],5.71023,tt0045274
6465,I Love You to Death,68.0,6.2,"['Action', 'Comedy', 'Crime']",8.112160000000001,tt0099819
6466,Freddy vs. Jason,608.0,5.8,['Horror'],14.015739000000002,tt0329101
6468,Open Range,268.0,7.0,['Western'],16.532577,tt0316356
6469,Shaolin Soccer,504.0,6.6,"['Action', 'Comedy']",8.461631,tt0286112
6470,Uptown Girls,193.0,6.1,['Comedy'],5.555088,tt0263757
6471,American Splendor,121.0,7.1,"['Comedy', 'Drama']",7.05435,tt0305206
6475,Agent Cody Banks,289.0,5.0,['Action'],10.445141,tt0313911
6480,House of Wax,75.0,7.0,"['Crime', 'Horror', 'Mystery']",9.072006,tt0045888
6487,The Sure Thing,82.0,6.6,"['Comedy', 'Drama', 'Romance']",4.285337,tt0090103
6489,Valley Girl,61.0,6.2,"['Comedy', 'Romance']",8.438808,tt0086525
6490,Wait Until Dark,112.0,7.5,"['Horror', 'Crime', 'Thriller']",6.216637,tt0062467
6492,Code Unknown,59.0,6.9,"['War', 'Drama', 'Romance']",11.251674000000001,tt0216625
6493,Showdown in Little Tokyo,99.0,5.7,"['Action', 'Thriller']",11.521011,tt0102915
6494,Tokyo Story,190.0,8.2,['Drama'],10.009423,tt0046438
6496,THX 1138,265.0,6.4,"['Drama', 'Mystery', 'Science Fiction']",8.152085000000001,tt0066434
6501,Kind Hearts and Coronets,109.0,7.6,"['Comedy', 'Drama']",9.753718,tt0041546
6503,Joe Kidd,76.0,6.4,['Western'],5.809807,tt0068768
6504,The Keep,56.0,5.9,['Horror'],3.5544910000000005,tt0085780
6509,10,69.0,5.4,"['Comedy', 'Romance']",8.539083,tt0078721
6510,Tremors,882.0,6.6,"['Action', 'Horror']",15.750026,tt0100814
6511,The Red Shoes,124.0,8.2,"['Drama', 'Romance']",10.44551,tt0040725
6513,The Pink Panther,246.0,6.9,"['Comedy', 'Crime']",7.851263,tt0057413
6514,The Pink Panther Strikes Again,119.0,6.8,"['Comedy', 'Mystery']",5.58692,tt0075066
6515,Commando,753.0,6.4,"['Action', 'Adventure', 'Thriller']",10.193652,tt0088944
6517,The Discreet Charm of the Bourgeoisie,140.0,7.4,['Comedy'],4.8779,tt0068361
6519,The Road Home,52.0,7.7,"['Drama', 'Romance']",2.6114919999999997,tt0235060
6520,Ikiru,208.0,8.1,['Drama'],7.8435619999999995,tt0044741
6535,Death in Venice,78.0,7.1,['Drama'],3.770948,tt0067445
6537,The Medallion,286.0,5.3,"['Thriller', 'Fantasy', 'Action', 'Comedy']",9.885859,tt0288045
6538,My Boss's Daughter,189.0,4.4,"['Comedy', 'Romance']",13.49615,tt0270980
6546,Jeepers Creepers 2,304.0,5.5,"['Horror', 'Thriller']",14.786032,tt0301470
6553,Dickie Roberts: Former Child Star,65.0,5.1,['Comedy'],6.9576009999999995,tt0325258
6554,The Order,93.0,4.8,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Romance', 'Thriller']",5.370818,tt0304711
6556,Party Monster,60.0,5.9,"['Comedy', 'Drama', 'Crime']",3.0078419999999997,tt0320244
6558,Cabin Fever,332.0,5.5,['Horror'],6.4666879999999995,tt0303816
6559,Matchstick Men,515.0,6.9,"['Comedy', 'Drama', 'Crime', 'Thriller']",5.539265,tt0325805
6560,Once Upon a Time in Mexico,605.0,6.2,['Action'],8.843364999999999,tt0285823
6562,Lost in Translation,1943.0,7.3,['Drama'],11.609441,tt0335266
6564,Millennium Actress,123.0,7.8,"['Animation', 'Drama', 'Romance']",5.330725,tt0291350
6571,Kuffs,60.0,5.3,"['Action', 'Comedy', 'Crime']",6.370387,tt0104647
6572,Once Upon a Time in China,99.0,7.4,"['Action', 'Drama']",5.476134,tt0103285
6573,Once Upon a Time in China II,54.0,7.1,"['Action', 'Comedy']",3.6066879999999997,tt0105839
6575,Paper Moon,154.0,7.8,"['Comedy', 'Crime', 'Drama']",6.471879,tt0070510
6581,Convoy,78.0,6.1,"['Action', 'Comedy', 'Drama']",4.925738,tt0077369
6582,Day of the Dead,276.0,6.9,"['Horror', 'Science Fiction']",8.801822,tt0088993
6583,"Hello, Dolly!",61.0,6.6,"['Comedy', 'Family', 'Music', 'Romance']",8.407519,tt0064418
6585,Memoirs of an Invisible Man,127.0,5.7,"['Comedy', 'Fantasy', 'Science Fiction']",6.064099,tt0104850
6595,Once Bitten,75.0,5.3,"['Horror', 'Comedy', 'Romance']",6.1746989999999995,tt0089730
6599,The Brood,138.0,6.6,"['Horror', 'Science Fiction', 'Thriller']",9.445978,tt0078908
6601,Anything Else,151.0,6.2,"['Comedy', 'Romance']",11.10416,tt0313792
6602,Cold Creek Manor,114.0,4.9,"['Mystery', 'Thriller']",5.84474,tt0331468
6604,Secondhand Lions,264.0,6.9,"['Comedy', 'Drama', 'Family']",8.636608,tt0327137
6605,Underworld,2556.0,6.6,"['Fantasy', 'Action', 'Thriller']",20.624333,tt0320691
6606,Bubba Ho-tep,192.0,6.7,"['Comedy', 'Horror', 'Thriller', 'Mystery', 'Fantasy']",5.574383,tt0281686
6614,Duplex,500.0,5.9,"['Action', 'Comedy', 'Thriller']",12.160363,tt0266489
6615,The Rundown,523.0,6.4,"['Adventure', 'Action', 'Comedy', 'Thriller']",8.304835,tt0327850
6616,Under the Tuscan Sun,178.0,6.4,['Romance'],8.508008,tt0328589
6619,Luther,84.0,6.6,"['Drama', 'History']",7.1829089999999995,tt0309820
6621,My Life Without Me,78.0,7.2,"['Drama', 'Romance']",10.310508,tt0314412
6624,The Triplets of Belleville,233.0,7.3,"['Adventure', 'Animation', 'Comedy', 'Drama']",8.35586,tt0286244
6625,Videodrome,464.0,7.1,"['Horror', 'Mystery', 'Science Fiction']",7.9450389999999995,tt0086541
6627,Lagaan: Once Upon a Time in India,125.0,7.2,"['Adventure', 'Drama', 'Music', 'Romance']",4.9745099999999995,tt0169102
6628,Judgment at Nuremberg,161.0,7.6,"['Drama', 'History']",9.697105,tt0055031
6634,The Rules of the Game,109.0,7.7,"['Drama', 'Comedy', 'Romance']",5.568997,tt0031885
6636,Seven Brides for Seven Brothers,117.0,7.1,"['Comedy', 'Drama', 'Western', 'Music']",5.748536,tt0047472
6637,Kiss of the Spider Woman,53.0,6.8,['Drama'],3.5703769999999997,tt0089424
6638,All the President's Men,424.0,7.6,"['Drama', 'History', 'Mystery', 'Thriller']",12.421754,tt0074119
6641,Avalon,93.0,6.8,"['Action', 'Science Fiction']",5.019679,tt0267287
6642,Babette's Feast,81.0,7.0,"['Comedy', 'Drama']",10.139954,tt0092603
6644,Beethoven,425.0,5.6,"['Comedy', 'Family']",9.322716999999999,tt0103786
